Jrk nr,Maakond,G01Q02Klass. Mitmendas klassis õpib Teie laps?,"G01Q03. Kas olete teadlik, et Teie lapse koolis rakendatakse koolikava (koolipiima ning koolipuu- ja köögivilja programm)?",G01Q14. Kus Te elate?,"G02Q04SuuakseKV[1]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 1]","G02Q04SuuakseKV[2]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 2]","G02Q04SuuakseKV[3]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 3]","G02Q04SuuakseKV[4]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 4]","G02Q04SuuakseKV[5]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 5]","G02Q05SuuakseMarjad[1]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 1]","G02Q05SuuakseMarjad[2]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 2]","G02Q05SuuakseMarjad[3]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 3]","G02Q05SuuakseMarjad[4]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 4]","G02Q05SuuakseMarjad[5]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 5]","G02Q06SuuaksePiim[1]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 1]","G02Q06SuuaksePiim[2]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 2]","G02Q06SuuaksePiim[3]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 3]","G02Q07Suuakse[SQ001]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked puuviljad]","G02Q07Suuakse[SQ002]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked köögiviljad ]","G02Q07Suuakse[SQ003]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked või eelnevalt külmutatud marjad ]","G02Q07Suuakse[SQ004]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Joogipiim]","G02Q07Suuakse[SQ005]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Keefir]","G02Q07Suuakse[SQ006]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Hapupiim]","G02Q07Suuakse[SQ007]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Pett]","G02Q07Suuakse[SQ008]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Jogurt]",G03Q8Muutus[SQ001]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Köögivilja osas],G03Q8Muutus[SQ002]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Puuvilja osas],G03Q8Muutus[SQ003]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Piimatoodete osas],"G03Q10Sagedus. Palun hinnake, kui sagedasti räägite oma lapsega tervislikust toitumisest?","G02Q12Vajalikkus[SQ001]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipiimakava]","G02Q12Vajalikkus[SQ002]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipuuvilja ja -köögiviljakava]","G02Q12Vajalikkus[SQ003]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Kaasnevad haridusmeetmed]"
297,Pärnumaa,4. klassis,"Jah, olen",Maal,Porgand,Tomat,Kurk,Paprika,Lehtkapsas ,Mustikad,Maasikad,Õun,Pirn,Vaarikad,Joogipiim,Jogurt,,Paar korda kuus,1-2 korda nädalas,3-4 päeval nädalas,Iga päev,Ei oska öelda,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
298,Harjumaa,8. klassis,Ei ole,Linnas,Sibul,Kurk,Tomat,Porgand,Paprika,Maasikad,Vaarikad,Õun,,,Joogipiim,,,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb palju rohkem,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Pigem vajalik,Pigem vajalik,Väga vajalik
299,Harjumaa,4. klassis,"Jah, olen",Linnas,Porgand,Kurk,Tomat,Paprika,Sibul,Mustikad,Õun,Pirn,Mustad sõstrad,Vaarikad,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Sööb pigem vähem,Ei ole muutusi,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
301,Võrumaa,11. klassis,"Jah, olen",Linnas,Herned,"Kapsas (valge, punane) ",Porgand,Peet,Sibul,Astelpaju marjad,Maasikad,Vaarikad,Mustikad,Ploomid,Keefir,Joogipiim,Jogurt,Iga päev,1-2 korda nädalas,Iga päev,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei oska öelda,Ei oska öelda,Ei oska öelda,Ei oska öelda,Pigem ebavajalik,Pigem ebavajalik,Pigem ebavajalik
302,Tartumaa,8. klassis,Ei ole,Linna lähikonnas,Porgand,Kurk,Paprika,Tomat,Redis,Mustikad,Maasikad,Kirsid,Vaarikad,Õun,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
303,Põlvamaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Paprika,Porgand,Tomat,Leht- ja peasalat,Maasikad,Õun,Pirn,Mustikad,,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Ei oska öelda,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem vähem,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
305,Harjumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kaalikas,Kurk,Sibul,Tomat,Paprika,Maasikad,Mustikad,Ploomid,Õun,Kirsid,Joogipiim,Jogurt,,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Vähemalt kord päevas,Väga vajalik,Väga vajalik,Väga vajalik
306,Põlvamaa,8. klassis,Ei ole,Linna lähikonnas,Kurk,Tomat,Herned,Porgand,Peet,Maasikad,Mustikad,Pirn,Õun,Vaarikad,Joogipiim,Jogurt,,1-2 korda nädalas,1-2 korda nädalas,Ei oska öelda,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei oska öelda,Sööb pigem rohkem,Sööb pigem rohkem,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
307,Põlvamaa,8. klassis,Ei ole,Linnas,Herned,Kurk,Paprika,Porgand,Sibul,Maasikad,Mustikad,Õun,Kirsid,,Joogipiim,Jogurt,Keefir,Paar korda kuus,Paar korda kuus,Paar korda kuus,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
309,Põlvamaa,8. klassis,"Jah, olen",Linnas,Porgand,Tomat,Kurk,"Suvikõrvits, kabatšokk",Redis,Maasikad,Karusmarjad (tikrid),Õun,Vaarikad,Mustikad,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,Paar korda kuus,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
310,Põlvamaa,8. klassis,"Jah, olen",Linnas,Lehtkapsas ,Kurk,Oad,Porgand,Tomat,Maasikad,Mustad sõstrad,Pirn,Vaarikad,Õun,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
311,Põlvamaa,8. klassis,"Jah, olen",Linnas,Kurk,Kõrvits ,Leht- ja peasalat,Porgand,Paprika,Maasikad,Pirn,Ploomid,Õun,Vaarikad,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem ebavajalik
313,Põlvamaa,8. klassis,"Jah, olen",Linnas,Porgand,Tomat,"Suvikõrvits, kabatšokk",Spargelkapsas ehk brokoli,Paprika,Õun,Vaarikad,Maasikad,Karusmarjad (tikrid),Mustad sõstrad,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Täiesti ebavajalik,Pigem vajalik,Pigem vajalik
314,Lääne-Virumaa,4. klassis,"Jah, olen",Linnas,Kurk,Paprika,Porgand,Tomat,,Maasikad,Karusmarjad (tikrid),Vaarikad,Ploomid,Õun,Joogipiim,Jogurt,,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
315,Põlvamaa,8. klassis,Ei ole,Maal,Kurk,Kõrvits ,"Kapsas (valge, punane) ",Oad,Paprika,Maasikad,Õun,Mustikad,Murakad,Ploomid,Joogipiim,,,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Sööb pigem vähem,Kord nädalas,Pigem vajalik,Väga vajalik,Pigem vajalik
317,Võrumaa,4. klassis,"Jah, olen",Maal,Kaalikas,"Kapsas (valge, punane) ",Kurk,Leht- ja peasalat,Lillkapsas,Maasikad,Ploomid,Mustikad,Vaarikad,Õun,Keefir,Jogurt,Joogipiim,Ei söö/joo üldse,Iga päev,3-4 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
318,Järvamaa,8. klassis,Ei oska öelda,Maal,"Kapsas (valge, punane) ",Kurk,Leht- ja peasalat,Peet,Redis,Maasikad,Mustikad,Mustad sõstrad,Punased sõstrad,Vaarikad,Joogipiim,Jogurt,Hapupiim,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,Sööb pigem vähem,Sööb pigem vähem,Ei ole muutusi,Vähemalt kord päevas,Pigem vajalik,Pigem vajalik,Pigem vajalik
319,Põlvamaa,8. klassis,"Jah, olen",Linnas,Kurk,Tomat,"Suvikõrvits, kabatšokk",Porgand,"Kapsas (valge, punane) ",Mustikad,Maasikad,Õun,Vaarikad,Pirn,Jogurt,Joogipiim,Keefir,Iga päev,3-4 päeval nädalas,3-4 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem vähem,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
321,Harjumaa,8. klassis,"Jah, olen",Maal,Kurk,Tomat,Oad,Porgand,Herned,Mustikad,Vaarikad,Maasikad,Mustad sõstrad,Ploomid,Joogipiim,Jogurt,,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
322,Harjumaa,8. klassis,Ei ole,Linnas,Kurk,Tomat,Porgand,Leht- ja peasalat,"Suvikõrvits, kabatšokk",Maasikad,Mustikad,Õun,Punased sõstrad,Karusmarjad (tikrid),Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Iga päev,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem vähem,Ei ole muutusi,Sööb pigem rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
323,Põlvamaa,8. klassis,"Jah, olen",Linnas,Kurk,"Kapsas (valge, punane) ",Kõrvits ,Porgand,Tomat,Õun,Pirn,Vaarikad,Mustikad,Maasikad,Pett,Jogurt,Joogipiim,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Ei oska öelda,Ei oska öelda,Iga päev,Iga päev,Sööb palju rohkem,Sööb palju rohkem,Sööb pigem rohkem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
325,Põlvamaa,8. klassis,"Jah, olen",Maal,Lehtkapsas ,Oad,Paprika,Porgand,Nuikapsas ,Vaarikad,Mustikad,Maasikad,Jõhvikad,Ebaküdoonia,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
326,Põlvamaa,8. klassis,"Jah, olen",Linnas,"Kapsas (valge, punane) ",Herned,Kurk,Hiina kapsas,Sibul,Karusmarjad (tikrid),Maasikad,Murakad,Mustikad,Õun,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Sööb pigem rohkem,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
327,Põlvamaa,8. klassis,"Jah, olen",Maal,Hiina kapsas,Herned,Porgand,Paprika,Lillkapsas,Pirn,Mustad sõstrad,Maasikad,Õun,Mustikad,Joogipiim,Keefir,Jogurt,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Paar korda kuus,1-2 korda nädalas,1-2 korda nädalas,Sööb palju rohkem,Sööb palju rohkem,Sööb palju rohkem,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
328,Järvamaa,4. klassis,"Jah, olen",Maal,Leht- ja peasalat,Porgand,Kurk,Sibul,Tomat,Õun,Vaarikad,Maasikad,Mustikad,Karusmarjad (tikrid),Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,Paar korda kuus,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Sööb pigem rohkem,Ei oska öelda,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
330,Võrumaa,11. klassis,Ei oska öelda,Maal,Tomat,Porgand,Nuikapsas ,Paprika,Lillkapsas,Maasikad,Mustad sõstrad,Mustikad,Vaarikad,Õun,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,Ei oska öelda,Ei oska öelda,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Väga vajalik
331,Põlvamaa,8. klassis,"Jah, olen",Maal,Kurk,Paprika,Porgand,"Suvikõrvits, kabatšokk",Peet,Maasikad,Mustad sõstrad,Pirn,Vaarikad,Õun,Jogurt,Joogipiim,Keefir,Iga päev,Iga päev,1-2 korda nädalas,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Ei oska öelda,Iga päev,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Väga vajalik,Väga vajalik
332,Põlvamaa,8. klassis,Ei oska öelda,Maal,Hiina kapsas,Kurk,Sibul,Tomat,Porgand,Õun,Maasikad,Pirn,Mustikad,,Joogipiim,Keefir,Jogurt,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb palju rohkem,Sööb pigem rohkem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
334,Põlvamaa,8. klassis,"Jah, olen",Linnas,Baklažaan,Spargelkapsas ehk brokoli,Spargel ,,,Jõhvikad,Kirsid,Murakad,Maasikad,Mustikad,Jogurt,Joogipiim,Keefir,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
335,Lääne-Virumaa,4. klassis,"Jah, olen",Linnas,Kurk,Tomat,Lillkapsas,Redis,"Kapsas (valge, punane) ",Pirn,Õun,Maasikad,Ploomid,Mustikad,Joogipiim,Hapupiim,Jogurt,Iga päev,Iga päev,Paar korda kuus,Iga päev,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,Iga päev,Sööb pigem rohkem,Sööb palju rohkem,Sööb palju rohkem,Ei oska öelda,Pigem vajalik,Väga vajalik,Pigem vajalik
336,Järvamaa,11. klassis,"Jah, olen",Maal,Lillkapsas,"Kapsas (valge, punane) ",Kaalikas,Paprika,Porgand,Pirn,Maasikad,Mustad sõstrad,Karusmarjad (tikrid),Mustikad,Joogipiim,Keefir,Jogurt,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem vähem,Sööb pigem rohkem,Sööb pigem rohkem,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
338,Põlvamaa,8. klassis,Ei ole,Linnas,Herned,Kurk,Tomat,Porgand,Paprika,Mustikad,Maasikad,Vaarikad,Ploomid,Õun,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
339,Tartumaa,8. klassis,"Jah, olen",Maal,"Kapsas (valge, punane) ",Kurk,Hiina kapsas,Herned,Kaalikas,Maasikad,Kirsid,Ploomid,Vaarikad,Õun,Jogurt,Keefir,Hapupiim,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem ebavajalik,Pigem vajalik,Pigem vajalik
340,Võrumaa,4. klassis,Ei ole,Linnas,Sibul,Kurk,Leht- ja peasalat,Lillkapsas,Tomat,Maasikad,Mustikad,Pirn,Õun,Mustad sõstrad,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Vähemalt kord päevas,Pigem vajalik,Väga vajalik,Pigem vajalik
342,Valgamaa,4. klassis,Ei ole,Linna lähikonnas,Tomat,Kurk,Porgand,Paprika,Herned,Mustikad,Vaarikad,Õun,Maasikad,Pirn,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,Ei oska öelda,Iga päev,Ei oska öelda,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
343,Valgamaa,8. klassis,Ei oska öelda,Linnas,Hiina kapsas,Kurk,Lehtkapsas ,Porgand,Paprika,Maasikad,Mustikad,Pirn,Õun,Vaarikad,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,1-2 korda nädalas,Iga päev,Iga päev,Ei söö/joo üldse,Paar korda kuus,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
344,Valgamaa,4. klassis,Ei ole,Linnas,Tomat,Kurk,Sibul,Leht- ja peasalat,Porgand,Maasikad,Mustikad,Vaarikad,Ploomid,Mustad sõstrad,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,Iga päev,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
346,Põlvamaa,8. klassis,"Jah, olen",Linna lähikonnas,Kurk,Porgand,"Kapsas (valge, punane) ",Peet,Herned,Õun,Maasikad,Mustikad,Vaarikad,Astelpaju marjad,Jogurt,Joogipiim,,5-6 päeval nädalas,5-6 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem vähem,Vähemalt kord päevas,Pigem ebavajalik,Väga vajalik,Pigem ebavajalik
347,Põlvamaa,8. klassis,"Jah, olen",Maal,Tomat,Porgand,Herned,Oad,"Kapsas (valge, punane) ",Maasikad,Mustikad,Ploomid,Astelpaju marjad,Õun,Jogurt,Keefir,,5-6 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,Paar korda kuus,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Sööb pigem vähem,Sööb pigem rohkem,Sööb pigem vähem,Kord kuus,Pigem vajalik,Väga vajalik,Väga vajalik
348,Valgamaa,4. klassis,"Jah, olen",Linnas,Kurk,Porgand,Hiina kapsas,Kaalikas,Tomat,Maasikad,Vaarikad,Pirn,Mustikad,,Joogipiim,Jogurt,,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Kord nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
350,Põlvamaa,8. klassis,Ei ole,Linnas,Kurk,Tomat,"Kapsas (valge, punane) ",Paprika,Porgand,Karusmarjad (tikrid),Maasikad,Kirsid,Jõhvikad,Õun,Jogurt,Joogipiim,Keefir,1-2 korda nädalas,5-6 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem vähem,Sööb pigem vähem,Sööb pigem rohkem,Vähemalt kord päevas,Pigem vajalik,Pigem vajalik,Väga vajalik
351,Pärnumaa,4. klassis,Ei ole,Linna lähikonnas,Kaalikas,"Kapsas (valge, punane) ",Kurk,Paprika,Tomat,Maasikad,Mustikad,Vaarikad,Õun,Mustad sõstrad,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
352,Harjumaa,4. klassis,Ei oska öelda,Maal,Leht- ja peasalat,,,,,Karusmarjad (tikrid),Jõhvikad,Mustad sõstrad,Pirn,Õun,Joogipiim,Hapupiim,Keefir,3-4 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Iga päev,5-6 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Kord kuus,Pigem vajalik,Väga vajalik,Pigem vajalik
354,Põlvamaa,8. klassis,"Jah, olen",Maal,Tomat,Kurk,Porgand,Sibul,"Kapsas (valge, punane) ",Õun,Pirn,Maasikad,Karusmarjad (tikrid),Mustikad,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
